dog_id,hs_condition
11753,1704
81560,1704
74996,1704
84264,1704
77593,1704
29022,1704
47687,1704
58524,1704
9326,1704
57277,1704
76080,1704
93904,1704
25807,1704
5742,1704
49956,1704
40348,1704
68349,1704
64281,1704
69284,1704
27364,1704
93652,1704
13850,1704
48632,1704
74372,1704
30289,1704
53052,1704
64803,1704
79635,1704
91274,1704
61241,1704
97844,1704
57134,1704
34232,1704
7022,1704
52044,1704
50872,1704
11323,1704
70754,1704
59636,1704
5024,1704
14819,1704
16759,1704
56795,1704
543,1704
6038,1704
93946,1704
72899,1704
91358,1704
19630,1704
67544,1704
65509,1704
30312,1704
84477,1704
63924,1704
97766,1704
12524,1704
77880,1704
51104,1704
19958,1704
21294,1704
78860,1704
47464,1704
94419,1704
12289,1704
40976,1704
24854,1704
6363,1704
37109,1704
67638,1704
79529,1704
97796,1704
65844,1704
90482,1704
25647,1704
52561,1704
73998,1704
4784,1704
86337,1704
90893,1704
96606,1704
76194,1704
12113,1704
54576,1704
96230,1704
68005,1704
85950,1705
69263,1705
857,1705
19630,1705
4260,1705
29000,1705
10561,1705
74632,1705
42235,1705
65932,1705
6538,1705
64803,1705
94952,1705
72627,1705
77957,1705
102633,1705
8998,1705
89714,1705
22394,1705
76254,1705
92443,1705
9588,1705
42098,1705
49838,1705
27633,1705
65440,1705
93118,1705
52913,1705
46115,1705
90542,1705
62731,1705
17726,1705
65932,1705
52561,1705
63409,1705
18689,1705
81926,1705
73109,1705
95639,1705
1640,1705
100226,1705
49443,1705
81125,1705
96676,1705
56416,1705
42573,1705
69284,1705
12524,1705
14306,1710
13518,1710
82957,1710
11626,1710
9445,1710
90659,1710
57159,1710
84650,1710
77401,1710
87400,1710
33111,1710
15599,1710
79635,1710
52528,1710
36747,1710
33332,1710
72561,1710
90463,1710
86108,1710
4365,1710
25300,1710
31205,1710
11232,1710
29364,1710
27633,1710
84005,1710
53785,1710
74037,1710
40694,1710
36278,1710
72706,1710
63379,1710
85259,1710
40279,1710
35294,1710
49207,1710
80909,1710
18469,1710
21074,1710
11724,1710
